RECTYPE,YEAR,CASEID,REGION,STATEFIP,MSASIZE,FAMINCOME,HH_SIZE,POVERTY130,POVERTY185,HH_CHILD,AGEYCHILD,HH_NUMADULTS,PERNUM,LINENO,WT06,AGE,SEX,RACE,MARST,GENHEALTH,BMI,EDUC,EDUCYRS,VETSTAT,MULTJOBS,OCC2,FULLPART,UHRSWORKT,SPEMPNOT,PED,WBLADDER,ACT_FOOD,ACT_PCARE,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_TRAVEL,ACT_WORK
1,2012,2.01201E+13,3,22,4,14,4,,,1,7,2,1,1,2193858.197,44,1,100,1,2,,40,216,2,0,110,1,50,1,,5,95,618,0,351,0,24,350
1,2012,2.01201E+13,3,12,5,13,1,,,0,999,1,1,1,6095810.479,59,1,100,4,3,,30,214,2,0,120,2,15,99,,3,55,555,0,340,0,110,280
1,2012,2.01201E+13,2,39,0,12,1,,,0,999,1,1,1,4907006.402,64,1,100,3,4,,21,112,2,0,200,1,60,99,,7,15,605,0,30,0,60,670
1,2012,2.01201E+13,2,20,4,5,2,,,0,999,2,1,1,8743038.626,69,1,100,1,4,,30,214,2,99,9999,99,9999,0,,7,120,840,0,480,0,0,0
1,2012,2.01201E+13,2,17,7,8,1,,,0,999,1,1,1,12243011.23,65,2,100,6,3,,30,214,2,0,134,2,9995,99,,3,34,475,0,710,40,80,0
1,2012,2.01201E+13,2,27,6,15,2,,,0,999,2,1,1,4752422.981,37,1,100,1,2,,40,216,2,0,120,1,43,1,,6,200,510,50,235,60,155,0
1,2012,2.01201E+13,2,39,4,10,3,,,0,999,3,1,1,32070020.48,45,2,100,6,3,,21,112,2,0,150,2,9995,99,,7,60,850,0,260,0,30,0
1,2012,2.01201E+13,1,36,7,13,5,,,1,8,2,1,1,5487040.929,43,2,100,1,2,,30,213,2,0,111,2,30,1,,7,45,735,0,90,0,107,0
1,2012,2.01201E+13,1,42,0,14,2,,,0,999,2,1,1,17293611.8,47,1,100,1,3,,40,216,2,0,150,1,40,1,,9,90,411,0,240,0,134,540
1,2012,2.01201E+13,3,37,3,16,2,,,0,999,2,1,1,5569423.609,59,2,100,1,1,,43,321,2,99,9999,99,9999,1,,9,60,390,0,640,0,155,0
1,2012,2.01201E+13,2,26,2,7,3,,,1,14,1,1,1,3895652.108,61,1,100,5,1,,40,318,2,99,9999,99,9999,99,,10,121,480,0,120,120,70,0
1,2012,2.01201E+13,4,8,2,7,4,,,1,0,2,1,1,9836448.821,41,1,100,6,3,,20,111,2,0,133,1,40,99,,3,30,510,0,90,0,109,686
1,2012,2.01201E+13,1,36,7,15,5,,,0,999,5,1,1,31916274.72,36,1,100,2,2,,21,112,2,0,132,1,40,99,,6,85,480,0,115,0,145,450
1,2012,2.01201E+13,2,55,0,15,5,,,1,6,2,1,1,6202233.417,37,1,100,1,2,,31,213,2,0,180,1,40,1,,7,55,575,0,0,0,95,465
1,2012,2.01201E+13,2,26,0,14,2,,,0,999,2,1,1,4881795.698,64,1,100,1,2,,30,213,1,0,110,1,45,0,,8,105,634,120,163,0,97,1
1,2012,2.01201E+13,3,21,3,13,4,,,1,3,2,1,1,6010909.401,38,1,100,1,2,,40,216,2,0,190,1,40,1,,6,59,395,0,195,0,74,684
1,2012,2.01201E+13,1,34,7,15,5,,,1,14,3,1,1,9656896.678,51,1,100,1,2,,41,319,2,0,111,1,40,1,,8,10,450,0,320,15,80,564
1,2012,2.01201E+13,4,6,5,16,5,,,1,7,2,1,1,2697280.493,42,2,100,1,2,,40,216,2,0,125,1,40,1,,9,75,595,83,60,0,137,0
1,2012,2.01201E+13,3,21,5,8,1,,,0,999,1,1,1,4387031.311,76,2,100,6,2,,41,317,2,99,9999,99,9999,99,,9,103,652,196,140,0,96,0
1,2012,2.01201E+13,2,38,0,9,8,,,1,4,2,1,1,4551817.281,44,1,120,6,3,,21,112,2,0,170,1,9995,1,,8,30,540,0,515,75,90,0
1,2012,2.01201E+13,1,36,0,8,1,,,0,999,1,1,1,5680476.103,79,2,100,3,3,,21,112,2,99,9999,99,9999,99,,10,135,600,105,245,0,145,0
1,2012,2.01201E+13,3,12,5,13,2,,,0,999,2,1,1,13375723.37,54,2,100,1,3,,30,214,2,0,150,1,40,0,,5,65,505,0,165,0,71,545
1,2012,2.01201E+13,1,36,5,11,1,,,0,999,1,1,1,4616196.845,62,1,100,5,1,,40,318,2,99,9999,99,9999,99,,9,0,495,0,770,0,175,0
1,2012,2.01201E+13,4,32,3,7,1,,,0,999,1,1,1,3069612.148,64,1,100,4,5,,30,214,2,99,9999,99,9999,99,,0,30,690,0,660,0,0,0
1,2012,2.01201E+13,4,6,7,10,2,,,0,999,2,1,1,2505125.242,51,2,110,1,4,,41,319,2,99,9999,99,9999,1,,4,190,420,0,405,0,0,0
1,2012,2.01201E+13,1,36,7,10,2,,,1,8,1,1,1,1109764.848,32,2,110,6,2,,40,216,2,0,111,1,40,99,,6,90,730,0,45,0,10,0
1,2012,2.01201E+13,4,6,3,11,3,,,0,999,1,1,1,2526762.787,47,1,202,4,2,,30,214,1,99,9999,99,9999,99,,5,60,460,153,525,0,47,0
1,2012,2.01201E+13,2,17,7,8,4,,,1,2,2,1,1,9285785.033,32,2,100,6,2,,16,111,2,0,133,2,28,99,,8,5,573,0,60,120,157,321
1,2012,2.01201E+13,4,6,7,6,4,,,1,0,2,1,1,10230488.07,37,1,100,1,1,,21,112,2,0,190,1,40,0,,8,110,345,0,81,0,74,620
1,2012,2.01201E+13,3,5,3,7,3,,,1,6,1,1,1,991957.3955,27,2,100,4,1,,30,215,2,99,9999,99,9999,99,,8,15,740,0,60,0,120,0
1,2012,2.01201E+13,1,9,4,14,4,,,0,999,4,1,1,33386525.3,55,1,100,1,3,,21,112,2,0,180,1,45,1,,7,60,455,0,145,0,110,525
1,2012,2.01201E+13,4,53,2,13,5,,,1,0,2,1,1,7310774.013,29,1,100,1,2,,41,318,2,0,111,1,45,0,,7,50,519,15,100,0,90,580
1,2012,2.01201E+13,4,53,6,13,3,,,1,2,2,1,1,3928712.023,25,2,110,6,2,,30,215,2,0,127,1,45,1,,6,80,490,0,0,0,120,570
1,2012,2.01201E+13,3,37,3,7,1,,,0,999,1,1,1,4621622.743,72,2,100,3,3,,30,214,2,99,9999,99,9999,99,,4,50,840,0,185,0,0,0
1,2012,2.01201E+13,2,26,6,14,3,,,0,999,3,1,1,15855920.36,55,1,100,1,1,,30,215,2,0,126,1,50,1,,10,60,360,0,360,0,60,510
1,2012,2.01201E+13,3,47,5,15,3,,,1,6,2,1,1,2196998.081,39,1,100,1,1,,41,318,2,0,111,1,60,1,,8,105,465,0,0,0,65,0
1,2012,2.01201E+13,3,47,0,2,1,,,0,999,1,1,1,7485005.208,52,1,100,4,99,,15,110,2,99,9999,99,9999,99,,999,15,0,0,1350,0,60,0
1,2012,2.01201E+13,2,20,4,15,5,,,1,5,3,1,1,4412885.435,36,1,100,1,3,,21,112,1,0,180,1,40,0,,6,105,725,0,240,0,60,0
1,2012,2.01201E+13,1,36,7,8,1,,,0,999,1,1,1,1466204.747,80,2,110,3,2,,21,112,2,99,9999,99,9999,99,,9,15,645,120,563,60,20,0
1,2012,2.01201E+13,4,6,4,9,4,,,1,10,2,1,1,16596894.32,39,1,100,1,3,,11,102,2,0,132,1,37,0,,9,90,535,0,240,60,80,420
1,2012,2.01201E+13,4,6,6,11,3,,,0,999,3,1,1,19634231.22,62,1,100,6,1,,41,318,2,99,9999,99,9999,99,,3,40,630,0,290,0,135,20
1,2012,2.01201E+13,1,25,4,13,3,,,1,0,2,1,1,2173310.773,36,2,100,1,3,,40,216,2,0,125,2,30,1,,4,70,520,0,75,0,100,0
1,2012,2.01201E+13,3,48,2,14,2,,,0,999,2,1,1,5186860.463,70,2,100,1,1,,21,112,2,99,9999,99,9999,0,,8,110,510,0,470,0,65,0
1,2012,2.01201E+13,3,24,6,6,1,,,0,999,1,1,1,1560508.209,69,2,110,6,3,,15,110,2,99,9999,99,9999,99,,6,60,565,0,775,0,0,0
1,2012,2.01201E+13,2,55,4,13,2,,,0,999,2,1,1,3060640.252,65,1,120,1,2,,40,216,2,99,9999,99,9999,0,,8,90,600,0,561,0,39,0
1,2012,2.01201E+13,1,42,0,12,1,,,0,999,1,1,1,9774826.319,30,1,100,6,2,,31,216,2,0,121,1,40,99,,6,95,510,0,0,0,70,515
1,2012,2.01201E+13,3,48,6,14,2,,,0,999,2,1,1,27470274.91,34,1,131,1,2,,41,318,2,0,120,1,40,0,,7,65,570,0,70,75,80,550
